g,h
-18.81126,-41.2371
-62.12673,-2.924495
46.28596,35.33371
8.809647,-12.89599
-19.17208,-18.33519
12.55873,30.68072
5.267743,-3.455289
-13.12676,2.721841
2.15391,.1468143
-4.167925,-4.122707
3.367416,7.009181
-8.123953,-12.66041
1.981296,9.805037
9.431006,-8.476981
5.736669,-3.640253
-6.132722,.6513758
2.761166,-3.553667
.3618878,.0707066
-61.75962,-5.672107
.7312059,1.380358
56.65693,3.563713
-2.509099,-.899118
6.716181,9.858344
-9.832021,5.63412
4.186484,-7.569394
5.095221,-17.58766
-6.78819,11.62752
-.8972661,-5.67072
-10.28955,4.272572
15.8572,6.632909
-.2649,12.04075
-2.510087,-14.72504
7.011598,-3.75807
-9.770634,1.572736
5.90677,19.80367
12.00249,12.07144
-3.490871,-2.504355
-.3338304,.627661
-7.411583,-5.086278
-6.527688,2.70551
9.76469,-4.835308
12.16088,1.847384
-11.5101,2.750192
16.34817,-15.10545
3.10944,22.84405
-1.622036,-4.089766
-22.99138,-.3652129
18.10643,-5.249384
-7.416287,-5.8475
6.381121,14.9255
26.62732,1.512522
5.107674,-1.256505
-14.41115,5.721557
-11.27354,2.927227
38.83664,-5.359668
-37.39483,-.7483112
-1.428138,-3.965675
1.003339,7.6985
-17.47549,3.661012
-6.950108,-12.06096
13.77429,6.177425
.2193557,-10.57741
-14.70716,2.921756
12.45014,5.770183
36.94901,1.410539
-14.51118,-18.18854
-5.419672,9.823189
3.123077,-9.23574
.3133075,9.014878
3.726911,10.12081
5.908848,2.142687
3.904969,-1.116594
-1.264787,25.25106
-2.69694,-15.89865
1.815231,2.649297
13.421,8.389574
1.214229,-22.80378
15.92977,18.99018
12.71061,12.8578
-5.21805,-11.72552
-15.78245,-3.78046
6.478969,1.434649
7.454058,-2.312135
-63.66862,21.02691
113.8018,-9.837447
-31.33521,7.401297
-12.18549,-7.084522
5.201838,-2.149751
-6.066449,-8.226491
15.14169,-2.853996
50.25838,11.16404
-68.84171,-10.10266
-45.78866,-62.72486
-10.99484,-4.638582
.9801939,-3.990278
-11.51683,3.372458
-10.57961,-14.14429
9.324353,8.989982
-41.87888,-12.55163
20.03398,8.493818
3.988233,17.4017
10.84347,-20.78237
15.59444,-3.213998
-16.41941,9.99417
21.80567,2.319889
-6.559688,-7.827854
7.283446,-.4176716
11.55442,-1.232282
-2.452167,2.043262
-6.402582,1.717483
-5.213271,1.517311
4.177649,1.495572
-.6754219,-3.782522
-6.158189,-1.143955
4.946056,3.714774
8.527246,1.935064
7.122816,3.984066
-7.516323,1.721268
1.929615,-3.811431
41.38322,-5.894821
-102.6758,-85.17906
-8.85871,-63.27517
-2.040832,8.769024
5.479019,-12.48764
2.071012,23.67241
3.688269,-7.081686
-4.366208,3.721997
1.436875,7.998542
-14.56116,21.22882
-5.907562,-2.256182
58.06748,16.29663
10.72348,-7.423665
38.96656,-4.185972
-18.66375,-2.923411
34.32495,-7.997841
-23.34729,3.728701
-23.91984,-16.39379
-16.30549,10.64072
13.7673,-2.066372
-38.37324,8.977027
-65.9912,-75.4706
-41.41725,6.055818
73.25659,4.534653
22.69011,-9.236801
-14.16367,-.0505652
18.08168,-5.974293
-3.046723,11.16977
-10.6507,16.26121
3.84835,-14.21054
-2.959831,11.17063
8.500234,-1.491622
8.297976,17.52934
-9.960652,-.3631409
-10.78308,-14.84132
-1.870417,-3.614195
-12.27887,2.034241
10.03722,17.48372
-38.40858,-36.54863
60.37666,43.85345
-62.21234,-14.9489
15.78354,.6615638
3.901657,6.437844
5.110964,.9885816
7.25729,1.704902
8.672265,2.988235
10.61448,.4039638
55.72184,-3.396314
-52.64099,-.107873
-2.900895,-1.461851
8.040443,2.639122
.9449095,1.737595
-13.37286,-17.17645
-96.4659,-86.60181
-13.84639,6.262108
37.10649,28.82463
-13.5976,3.531492
22.99384,54.70488
86.83953,.3235933
-43.86733,-54.94102
-76.42002,75.2504
40.08935,-23.313
6.618561,12.84395
11.20144,-4.881117
-15.08054,30.26829
-20.41196,-15.31744
-7.219849,-10.06889
2.562758,-3.608987
-7.2904,-11.92259
-5.476599,-16.67653
-10.7077,4.602715
2.991381,8.867189
9.055083,2.094228
9.406342,-10.52147
5.129659,15.38129
7.890831,21.12398
-5.910805,-18.3441
15.72056,16.75895
-5.04248,-.3430424
-10.53922,-14.0825
-7.623663,-17.72671
-.4502198,25.86884
5.292193,-.6743405
6.391605,-14.34166
.3595907,-8.035931
-15.7381,-44.12225
-236.6604,-82.9619
170.1826,67.3886
-49.76349,-19.90208
56.24548,69.28471
14.91742,4.550862
-14.02936,-22.24567
-25.91957,43.52185
57.11888,12.08864
-4.049516,-31.21557
-10.90755,18.22643
-11.28218,8.499915
-.0893671,-3.034148
-76.30599,-.141191
22.59671,-12.04148
22.36805,5.690531
-88.67533,6.98266
128.0594,-13.47033
-39.96046,18.05919
9.517019,-34.64635
65.0957,2.272976
.5935522,-9.488091
-30.37345,-3.391996
-5.160128,14.42505
-21.01509,7.733465
37.15392,-15.94479
-89.79344,.5996946
.146414,11.42226
53.20123,-5.275579
1.618585,.9400415
-50.76783,-27.84802
4.810297,1.868496
14.94999,22.94893
-80.99893,18.57545
-14.92831,6.78379
-4.312265,-3.368456
-1.266421,-.1060898
13.57606,1.923358
2.820277,-19.98577
-11.55541,-21.58633
8.387069,19.34572
5.138377,31.37759
-.1746393,-12.71717
6.013032,-21.62069
-14.49649,13.74142
-3.669074,39.39537
-3.144443,-33.50052
-2.169756,1.930671
8.229692,-.9687918
-.6971713,-3.45872
-9.773274,-13.54885
11.10674,16.93987
3.792253,-18.24126
-24.24098,-5.318441
-28.43956,-31.74139
4.311222,29.90841
21.88213,18.50871
30.98959,7.207284
-47.17757,-16.33135
20.96018,22.57545
73.01272,-3.928047
7.635919,5.209273
